,Movie Fridays,,,,,,,,Movie Ratings (Choose 1-10) (Put X if you were not there)(FP if you passed out),,,,,,,,,,,,,,,
,Movie,Duration,Date,Picked by:,,Average,Rank,,Derek,Daniel,DP,Nick,Austin,Connor,Basil,Mike V,Gil,Will,Guest,,Standard Dev,IMDB Rating,Disparity,
,The Butterfly Effect,113,1/25/2019,Dan,,5.9,169,,5,4,8,5,6.25,5,8,6,x,x,x,,1.463,7.6,1.7,
,Suspiria,92,2/1/2019,Derek,,7.1,112,,7,6,7,8,8.33,x,6,X,x,x,x,,0.975,7.4,0.3,
,12 Angry Men,96,2/8/2019,Dan,,9.1,4,,9,10,9,9,9.33,8.5,fp,X,x,x,x,,0.499,8.9,0.2,
,Kill List,95,2/15/2019,Dan,,4.5,197,,3,6,5,fp,1,7.5,x,X,x,x,x,,2.550,6.4,1.9,
,Unbreakable,106,2/22/2019,Austin,,5.5,178,,6,4,7,4,6.5,x,fp,X,x,x,x,,1.414,7.3,1.8,
,Irreversiblè,97,3/1/2019,Nick,,5.8,172,,5,6,4,7,x,5,x,X,x,7.5,x,,1.332,7.4,1.7,
,I Can Only Imagine,110,3/8/2019,DP,,4.1,204,,3.1,3,6,5,2,4,6,4,x,x,x,,1.447,7.3,3.2,
,Come and See,142,3/15/2019,Nick,,8.5,16,,9,10,4,9,9.33,10,8,X,x,x,x,,2.089,8.3,0.2,
,Primer,77,3/22/2019,Dan,,9.0,7,,8,9.5,8,10,10,9,8,9.5,x,x,x,,0.886,6.9,2.1,
,Super ,96,3/29/2019,Austin,,5.7,174,,6,4,6,8,7,3,x,X,x,x,x,,1.862,6.7,1.0,
,Donnie Darko,113,4/5/2019,Austin,,6.1,163,,6,6,4,fp,7,6,7,7,x,x,x,,1.069,8,1.9,
,Spirited Away,101,4/12/2019,Mike V,,9.0,8,,9,9.4,8,9,9.5,9,8,10,x,x,x,,0.698,7.6,1.4,
,The Raid: Redemption,101,4/19/2019,Dan,,5.7,173,,5,6,7,fp,4.5,x,x,6,x,x,x,,0.975,7.6,1.9,
,Avengers: Endgame,181,4/26/2019,DP,,7.0,115,,7,6,8,6,8.33,7,8,x,7,6,x,,0.919,8.4,1.4,
,Unforgiven,130,5/3/2019,Austin,,7.1,106,,6,7,fp,x,8.5,7,fp,x,x,x,x,,1.031,8.2,1.1,
,Whiplash,106,5/10/2019,Derek,,9.4,2,,9.2,9.8,8,10,9.75,9,9.8,x,x,x,x,,0.702,8.5,0.9,
,Taxi Driver,114,5/17/2019,Dan,,8.2,31,,8,8,6.5,x,9.5,10,fp,7,x,x,x,,1.366,8.3,0.1,
,Heathers,103,5/31/2019,Guest,,7.1,104,,6.5,6,6.5,7,8,8,x,8,x,x,x,,0.852,7.2,0.1,
,A Star is Born,136,6/8/2019,DP,,6.4,155,,6,4,7.5,x,6,7.5,fp,7.5,x,x,x,,1.393,7.7,1.3,
,Lost In Translation,102,6/21/2019,Nick,,7.5,79,,6.5,6,7.5,fp,8.75,8,fp,8,x,x,x,,1.030,7.7,0.2,
,28 Days Later,113,6/22/2019,DP,,5.9,168,,6,5,6,6.5,x,x,6,6,x,x,x,,0.492,7.6,1.7,
,Nightcrawler,117,7/4/2019,Nick,,7.9,41,,8,7.5,8.5,8,8,7,x,8,x,8.5,x,,0.496,7.9,0.0,
,The Shining,146,7/5/2019,Mike V,,7.5,77,,7.9,7,5.5,x,x,7,x,8.5,x,9,x,,1.258,8.4,0.9,
,Dogtooth,97,7/12/2019,Mike V,,4.8,193,,4,5,2.5,4.5,7,6,fp,2,x,7,x,,1.890,7.3,2.6,
